name,rolle,topic,image,nostr
Niko Jilch,Was Bitcoin bringt,Bitcoin Education,images/nikojilch.jpeg,npub17fqtu2mgf7zueq2kdusgzwr2lqwhgfl2scjsez77ddag2qx8vxaq3vnr8y
Alex von Frankenberg,Das ehrliche Geld,Bitcoin Education,images/alex.jpeg,
Mr. Luna, , Bitcoin Education,,
Timo Volkov, ,Bitcoin Education,,
Ralph21,Einundzwanzig,Bitcoin Nostr & Pareto,,
Netdiver, ,Bitcoin Education,images/netdiver.jpg,
Pilip, ,Bitcoin Education,,
Gil, ,Bitcoin Education,,
Finn, ,Bitcoin Education,,
Markus Turm,Einundzwanzig,Bitcoin Kickstr,images/markusturm.jpg,npub17fqtu2mgf7zueq2kdusgzwr2lqwhgfl2scjsez77ddag2qx8vxaq3vnr8y
PaddePadde,Einundzwanzig,Bitcoin Education,images/paddepadde.jpg,npub1gvqkjccl9urg93svaw60jqkk3ux8r3ycl5t3rlvc9uzjeu0agfuss8x8qy
Sirius,Einundzwanzig,Bitcoin Nodes,images/sirius.jpeg,npub1v4lgwjv7qfn3t7qjscpsgz9vqvspf6hecdp2ckgp0dz89uqn5slsgrhw3p
Seedor Chris,Einundzwanzig,Vexl Quiz,,
ClavaStack,Specter DIY,Specter DIY,,npub1qmfywacdlsss32lzup3qvutzdr7q6xttun4le0a9uzns4vfstk2q52jnen
